institution_type,refPeriod,template_id,template_title,n_peer,n_offengelegt,quote_peer,band,art_432_2
Large highest EEA,2025-12-31,50.00,Template 10 - Other climate change mitigating actions that are not covered in the EU Taxonomy,102,21,0.2059,uneinheitlich,
Large highest EEA,2025-12-31,60.00,EU OV1 – Overview of total risk exposure amounts (I),116,114,0.9828,erwartbar,
Large highest EEA,2025-12-31,61.00,EU KM1 - Key metrics template,116,115,0.9914,erwartbar,
Large highest EEA,2025-12-31,62.01,EU INS1 - Insurance participations,116,43,0.3707,uneinheitlich,
Large highest EEA,2025-12-31,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,116,27,0.2328,uneinheitlich,
Large highest EEA,2025-12-31,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,116,73,0.6293,uneinheitlich,
Large highest EEA,2025-12-31,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,116,66,0.569,uneinheitlich,
Large highest EEA,2025-12-31,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,116,104,0.8966,erwartbar,
Large highest EEA,2025-12-31,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),116,88,0.7586,uneinheitlich,
Large highest EEA,2025-12-31,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,116,106,0.9138,erwartbar,
Large highest EEA,2025-12-31,65.00,EU PV1: Prudent valuation adjustments (PVA),116,72,0.6207,uneinheitlich,
Large highest EEA,2025-12-31,66.01,EU CC1 - Composition of regulatory own funds,116,115,0.9914,erwartbar,Art. 437 Eigenmittel (CC1)
Large highest EEA,2025-12-31,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,116,111,0.9569,erwartbar,Art. 437 Eigenmittel (CC2)
Large highest EEA,2025-12-31,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,116,113,0.9741,erwartbar,
Large highest EEA,2025-12-31,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,116,113,0.9741,erwartbar,
Large highest EEA,2025-12-31,68.00,EU IRRBB1 - Interest rate risks of non-trading book activities,115,114,0.9913,erwartbar,
Large highest EEA,2025-12-31,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,116,113,0.9741,erwartbar,
Large highest EEA,2025-12-31,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,116,113,0.9741,erwartbar,
Large highest EEA,2025-12-31,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",116,113,0.9741,erwartbar,
Large highest EEA,2025-12-31,73.00,EU LIQ1 - Quantitative information of LCR,116,114,0.9828,erwartbar,
Large highest EEA,2025-12-31,74.00,EU LIQ2: Net Stable Funding Ratio,116,111,0.9569,erwartbar,
Large highest EEA,2025-12-31,80.00,EU CQ1: Credit quality of forborne exposures,117,107,0.9145,erwartbar,
Large highest EEA,2025-12-31,81.00,EU CQ2: Quality of forbearance,117,30,0.2564,uneinheitlich,
Large highest EEA,2025-12-31,82.00,EU CQ3: Credit quality of performing and non-performing exposures by past due days,117,111,0.9487,erwartbar,
Large highest EEA,2025-12-31,83.01,EU CQ4: Quality of non-performing exposures by geography,117,95,0.812,erwartbar,
Large highest EEA,2025-12-31,84.01,EU CQ5: Credit quality of loans and advances by industry,117,111,0.9487,erwartbar,
Large highest EEA,2025-12-31,85.00,EU CQ6: Collateral valuation - loans and advances,117,33,0.2821,uneinheitlich,
Large highest EEA,2025-12-31,86.00,EU CQ7: Collateral obtained by taking possession and execution processes,117,68,0.5812,uneinheitlich,
Large highest EEA,2025-12-31,87.00,EU CQ8: Collateral obtained by taking possession and execution processes – vintage breakdown,117,31,0.265,uneinheitlich,
Large highest EEA,2025-12-31,90.01,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",84,70,0.8333,erwartbar,
Large highest EEA,2025-12-31,91.00,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",84,71,0.8452,erwartbar,
Large highest EEA,2025-12-31,93.00,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",84,17,0.2024,uneinheitlich,
Large highest EEA,2025-12-31,95.00,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,84,13,0.1548,untypisch,
Large highest EEA,2025-12-31,96.00,EU TLAC2b: Creditor ranking - Entity that is not a resolution entity,84,8,0.0952,untypisch,
Large highest EEA,2025-12-31,97.00,EU TLAC3a - creditor ranking - resolution entity,84,29,0.3452,uneinheitlich,
Large highest EEA,2025-12-31,98.00,EU TLAC3b: creditor ranking - resolution entity,84,46,0.5476,uneinheitlich,
Large highest EEA,2026-03-31,00.02,Accompanying narrative CONDIS,77,36,0.4675,uneinheitlich,
Large highest EEA,2026-03-31,01.00,EU CAE1 – Exposures to crypto-assets,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,02.00,EU CCR1 – Analysis of CCR exposure by approach,77,6,0.0779,untypisch,
Large highest EEA,2026-03-31,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),77,1,0.013,untypisch,
Large highest EEA,2026-03-31,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),77,2,0.026,untypisch,
Large highest EEA,2026-03-31,06.00,EU CCR6 – Credit derivatives exposures,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,77,18,0.2338,uneinheitlich,
Large highest EEA,2026-03-31,08.00,EU CCR8 – Exposures to CCPs,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,09.02,EU-SEC2 - Securitisation exposures in the trading book,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,10.00,EU MR1 - Market risk under the standardised approach,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,77,28,0.3636,uneinheitlich,
Large highest EEA,2026-03-31,13.00,EU MR3 - IMA values for trading portfolios,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,77,14,0.1818,untypisch,
Large highest EEA,2026-03-31,19.01,EU OR1 -Operational risk losses,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,19.02,"EU OR2 - Business Indicator, components and subcomponents",77,2,0.026,untypisch,
Large highest EEA,2026-03-31,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,25.00,EU CR5 – standardised approach,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),77,1,0.013,untypisch,
Large highest EEA,2026-03-31,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,77,1,0.013,untypisch,
Large highest EEA,2026-03-31,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,77,1,0.013,untypisch,
Large highest EEA,2026-03-31,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,77,1,0.013,untypisch,
Large highest EEA,2026-03-31,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,77,51,0.6623,uneinheitlich,
Large highest EEA,2026-03-31,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),77,1,0.013,untypisch,
Large highest EEA,2026-03-31,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (I),77,1,0.013,untypisch,
Large highest EEA,2026-03-31,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,77,1,0.013,untypisch,
Large highest EEA,2026-03-31,60.00,EU OV1 – Overview of total risk exposure amounts (I),77,76,0.987,erwartbar,
Large highest EEA,2026-03-31,61.00,EU KM1 - Key metrics template,77,77,1.0,erwartbar,
Large highest EEA,2026-03-31,62.01,EU INS1 - Insurance participations,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,77,3,0.039,untypisch,
Large highest EEA,2026-03-31,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,77,53,0.6883,uneinheitlich,
Large highest EEA,2026-03-31,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,77,51,0.6623,uneinheitlich,
Large highest EEA,2026-03-31,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),77,1,0.013,untypisch,
Large highest EEA,2026-03-31,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,65.00,EU PV1: Prudent valuation adjustments (PVA),77,2,0.026,untypisch,
Large highest EEA,2026-03-31,66.01,EU CC1 - Composition of regulatory own funds,77,5,0.0649,untypisch,Art. 437 Eigenmittel (CC1)
Large highest EEA,2026-03-31,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,77,2,0.026,untypisch,Art. 437 Eigenmittel (CC2)
Large highest EEA,2026-03-31,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,77,2,0.026,untypisch,
Large highest EEA,2026-03-31,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,77,3,0.039,untypisch,
Large highest EEA,2026-03-31,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,77,4,0.0519,untypisch,
Large highest EEA,2026-03-31,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,77,4,0.0519,untypisch,
Large highest EEA,2026-03-31,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",77,3,0.039,untypisch,
Large highest EEA,2026-03-31,73.00,EU LIQ1 - Quantitative information of LCR,77,77,1.0,erwartbar,
Large highest EEA,2026-03-31,74.00,EU LIQ2: Net Stable Funding Ratio,77,3,0.039,untypisch,
Large subsidiaries,2025-06-30,00.01,Accompanying narrative FINDIS,41,12,0.2927,uneinheitlich,
Large subsidiaries,2025-06-30,00.02,Accompanying narrative CONDIS,59,14,0.2373,uneinheitlich,
Large subsidiaries,2025-06-30,00.03,Accompanying narrative ESGDIS,24,10,0.4167,uneinheitlich,
Large subsidiaries,2025-06-30,00.04,Accompanying narrative IRRBBDIS,21,5,0.2381,uneinheitlich,
Large subsidiaries,2025-06-30,00.05,Accompanying narrative MREL/TLACDIS,40,8,0.2,uneinheitlich,
Large subsidiaries,2025-06-30,01.00,EU CAE1 – Exposures to crypto-assets,59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,02.00,EU CCR1 – Analysis of CCR exposure by approach,59,21,0.3559,uneinheitlich,
Large subsidiaries,2025-06-30,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,59,19,0.322,uneinheitlich,
Large subsidiaries,2025-06-30,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),59,12,0.2034,uneinheitlich,
Large subsidiaries,2025-06-30,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),59,16,0.2712,uneinheitlich,
Large subsidiaries,2025-06-30,06.00,EU CCR6 – Credit derivatives exposures,59,8,0.1356,untypisch,
Large subsidiaries,2025-06-30,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,59,9,0.1525,untypisch,
Large subsidiaries,2025-06-30,08.00,EU CCR8 – Exposures to CCPs,59,14,0.2373,uneinheitlich,
Large subsidiaries,2025-06-30,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,59,16,0.2712,uneinheitlich,
Large subsidiaries,2025-06-30,09.02,EU-SEC2 - Securitisation exposures in the trading book,59,5,0.0847,untypisch,
Large subsidiaries,2025-06-30,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,59,13,0.2203,uneinheitlich,
Large subsidiaries,2025-06-30,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,59,10,0.1695,untypisch,
Large subsidiaries,2025-06-30,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,59,15,0.2542,uneinheitlich,
Large subsidiaries,2025-06-30,10.00,EU MR1 - Market risk under the standardised approach,59,17,0.2881,uneinheitlich,
Large subsidiaries,2025-06-30,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,59,6,0.1017,untypisch,
Large subsidiaries,2025-06-30,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,59,11,0.1864,untypisch,
Large subsidiaries,2025-06-30,13.00,EU MR3 - IMA values for trading portfolios,59,6,0.1017,untypisch,
Large subsidiaries,2025-06-30,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components,59,2,0.0339,untypisch,
Large subsidiaries,2025-06-30,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,59,0,0.0,untypisch,
Large subsidiaries,2025-06-30,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,59,0,0.0,untypisch,
Large subsidiaries,2025-06-30,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,59,12,0.2034,uneinheitlich,
Large subsidiaries,2025-06-30,19.01,EU OR1 -Operational risk losses,59,2,0.0339,untypisch,
Large subsidiaries,2025-06-30,19.02,"EU OR2 - Business Indicator, components and subcomponents",59,3,0.0508,untypisch,
Large subsidiaries,2025-06-30,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,59,3,0.0508,untypisch,
Large subsidiaries,2025-06-30,20.01,EU AE1 - Encumbered and unencumbered assets,41,3,0.0732,untypisch,
Large subsidiaries,2025-06-30,20.02,EU AE2 - Collateral received and own debt securities issued,41,3,0.0732,untypisch,
Large subsidiaries,2025-06-30,20.03,EU AE3 - Sources   of  encumbrance,41,3,0.0732,untypisch,
Large subsidiaries,2025-06-30,21.01,EU CR1: Performing and non-performing exposures and related provisions,41,41,1.0,erwartbar,
Large subsidiaries,2025-06-30,21.02,EU CR1-A: Maturity of exposures,41,37,0.9024,erwartbar,
Large subsidiaries,2025-06-30,22.01,EU CR2: Changes in the stock of non-performing loans and advances,41,31,0.7561,uneinheitlich,
Large subsidiaries,2025-06-30,22.02,EU CR2a: Changes in the stock of non-performing loans and advances and related net accumulated recoveries,41,2,0.0488,untypisch,
Large subsidiaries,2025-06-30,23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,59,40,0.678,uneinheitlich,
Large subsidiaries,2025-06-30,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,59,40,0.678,uneinheitlich,
Large subsidiaries,2025-06-30,25.00,EU CR5 – standardised approach,59,23,0.3898,uneinheitlich,
Large subsidiaries,2025-06-30,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),59,13,0.2203,uneinheitlich,
Large subsidiaries,2025-06-30,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,59,24,0.4068,uneinheitlich,
Large subsidiaries,2025-06-30,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,59,30,0.5085,uneinheitlich,
Large subsidiaries,2025-06-30,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,59,30,0.5085,uneinheitlich,
Large subsidiaries,2025-06-30,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (I),59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,59,24,0.4068,uneinheitlich,
Large subsidiaries,2025-06-30,41.00,"Template 1 - Banking book- Indicators of potential climate Change transition risk: Credit quality of exposures by sector, emissions and residual maturity",24,21,0.875,erwartbar,
Large subsidiaries,2025-06-30,42.00,Template 2 - Banking book - Indicators of potential climate change transition risk: Loans collateralised by immovable property - Energy efficiency of the collateral (I),24,21,0.875,erwartbar,
Large subsidiaries,2025-06-30,43.00,Template 3 - Banking book - Indicators of potential climate change transition risk: Alignment metrics (IAE/NACE codes),24,14,0.5833,uneinheitlich,
Large subsidiaries,2025-06-30,44.00,Template 4 - Banking book - Indicators of potential climate change transition risk: Exposures to top 20 carbon-intensive firms,24,19,0.7917,uneinheitlich,
Large subsidiaries,2025-06-30,45.00,Template 5 - Banking book - Indicators of potential climate change physical risk: Exposures subject to physical risk (I),24,21,0.875,erwartbar,
Large subsidiaries,2025-06-30,46.00,Template 6 - Summary of GAR KPIs (I),24,9,0.375,uneinheitlich,
Large subsidiaries,2025-06-30,47.00,Template 7 - Mitigating actions: Assets for the calculation of GAR (I),24,9,0.375,uneinheitlich,
Large subsidiaries,2025-06-30,48.00,Template 8 - GAR (%) (I),24,9,0.375,uneinheitlich,
Large subsidiaries,2025-06-30,49.01,Template 9.1 - Mitigating actions: Assets for the calculation of BTAR,24,5,0.2083,uneinheitlich,
Large subsidiaries,2025-06-30,49.02,Template 9.2 - BTAR % (I),24,5,0.2083,uneinheitlich,
Large subsidiaries,2025-06-30,49.03,Template 9.3 - Summary table - BTAR % (I),24,5,0.2083,uneinheitlich,
Large subsidiaries,2025-06-30,50.00,Template 10 - Other climate change mitigating actions that are not covered in the EU Taxonomy,24,10,0.4167,uneinheitlich,
Large subsidiaries,2025-06-30,60.00,EU OV1 – Overview of total risk exposure amounts (I),59,40,0.678,uneinheitlich,
Large subsidiaries,2025-06-30,61.00,EU KM1 - Key metrics template,59,54,0.9153,erwartbar,
Large subsidiaries,2025-06-30,62.01,EU INS1 - Insurance participations,59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,59,0,0.0,untypisch,
Large subsidiaries,2025-06-30,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,59,25,0.4237,uneinheitlich,
Large subsidiaries,2025-06-30,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,59,25,0.4237,uneinheitlich,
Large subsidiaries,2025-06-30,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,59,3,0.0508,untypisch,
Large subsidiaries,2025-06-30,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,59,2,0.0339,untypisch,
Large subsidiaries,2025-06-30,65.00,EU PV1: Prudent valuation adjustments (PVA),59,1,0.0169,untypisch,
Large subsidiaries,2025-06-30,66.01,EU CC1 - Composition of regulatory own funds,59,41,0.6949,uneinheitlich,Art. 437 Eigenmittel (CC1)
Large subsidiaries,2025-06-30,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,59,38,0.6441,uneinheitlich,Art. 437 Eigenmittel (CC2)
Large subsidiaries,2025-06-30,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,59,39,0.661,uneinheitlich,
Large subsidiaries,2025-06-30,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,59,39,0.661,uneinheitlich,
Large subsidiaries,2025-06-30,68.00,EU IRRBB1 - Interest rate risks of non-trading book activities,21,18,0.8571,erwartbar,
Large subsidiaries,2025-06-30,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,59,41,0.6949,uneinheitlich,
Large subsidiaries,2025-06-30,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,59,39,0.661,uneinheitlich,
Large subsidiaries,2025-06-30,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",59,40,0.678,uneinheitlich,
Large subsidiaries,2025-06-30,73.00,EU LIQ1 - Quantitative information of LCR,59,39,0.661,uneinheitlich,
Large subsidiaries,2025-06-30,74.00,EU LIQ2: Net Stable Funding Ratio,59,39,0.661,uneinheitlich,
Large subsidiaries,2025-06-30,80.00,EU CQ1: Credit quality of forborne exposures,41,41,1.0,erwartbar,
Large subsidiaries,2025-06-30,81.00,EU CQ2: Quality of forbearance,41,2,0.0488,untypisch,
Large subsidiaries,2025-06-30,82.00,EU CQ3: Credit quality of performing and non-performing exposures by past due days,41,8,0.1951,untypisch,
Large subsidiaries,2025-06-30,83.01,EU CQ4: Quality of non-performing exposures by geography,41,35,0.8537,erwartbar,
Large subsidiaries,2025-06-30,84.01,EU CQ5: Credit quality of loans and advances by industry,41,39,0.9512,erwartbar,
Large subsidiaries,2025-06-30,85.00,EU CQ6: Collateral valuation - loans and advances,41,1,0.0244,untypisch,
Large subsidiaries,2025-06-30,86.00,EU CQ7: Collateral obtained by taking possession and execution processes,41,28,0.6829,uneinheitlich,
Large subsidiaries,2025-06-30,87.00,EU CQ8: Collateral obtained by taking possession and execution processes – vintage breakdown,41,2,0.0488,untypisch,
Large subsidiaries,2025-06-30,90.01,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",40,15,0.375,uneinheitlich,
Large subsidiaries,2025-06-30,91.00,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",40,4,0.1,untypisch,
Large subsidiaries,2025-06-30,93.00,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",40,27,0.675,uneinheitlich,
Large subsidiaries,2025-06-30,95.00,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,40,5,0.125,untypisch,
Large subsidiaries,2025-06-30,96.00,EU TLAC2b: Creditor ranking - Entity that is not a resolution entity,40,4,0.1,untypisch,
Large subsidiaries,2025-06-30,97.00,EU TLAC3a - creditor ranking - resolution entity,40,3,0.075,untypisch,
Large subsidiaries,2025-06-30,98.00,EU TLAC3b: creditor ranking - resolution entity,40,0,0.0,untypisch,
Large subsidiaries,2025-09-30,00.02,Accompanying narrative CONDIS,35,10,0.2857,uneinheitlich,
Large subsidiaries,2025-09-30,01.00,EU CAE1 – Exposures to crypto-assets,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,02.00,EU CCR1 – Analysis of CCR exposure by approach,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,06.00,EU CCR6 – Credit derivatives exposures,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,35,9,0.2571,uneinheitlich,
Large subsidiaries,2025-09-30,08.00,EU CCR8 – Exposures to CCPs,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,09.02,EU-SEC2 - Securitisation exposures in the trading book,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,10.00,EU MR1 - Market risk under the standardised approach,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,35,9,0.2571,uneinheitlich,
Large subsidiaries,2025-09-30,13.00,EU MR3 - IMA values for trading portfolios,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,35,11,0.3143,uneinheitlich,
Large subsidiaries,2025-09-30,19.01,EU OR1 -Operational risk losses,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,19.02,"EU OR2 - Business Indicator, components and subcomponents",35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,25.00,EU CR5 – standardised approach,35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),35,0,0.0,untypisch,
Large subsidiaries,2025-09-30,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,35,0,0.0,untypisch,
